Date,Feedback,tokens,Normalized_Feedback,Punctuation_Removal,Remove_stop_words,Lematization,Clean_data,Label,Numeric_Label,Compound_Score
02-Jun-23,always power interruption every day iselco best power interruption,"['As', 'always', ',', 'power', 'interruption', 'every', 'day', ',', 'Iselco', '.', 'You', 'are', 'the', 'best', 'in', 'power', 'interruption']","['as', 'always', ',', 'power', 'interruption', 'every', 'day', ',', 'iselco', '.', 'you', 'are', 'the', 'best', 'in', 'power', 'interruption']",as always  power interruption every day  iselco  you are the best in power interruption,always power interruption every day iselco best power interruption,always power interruption every day iselco best power interruption,always power interruption every day iselco best power interruption,Negative,1,0.0516
02-Jun-23,not responsible iselco not contact yet,"['You', 'are', 'not', 'responsible', 'Iselco', 'you', 'have', 'not', 'been', 'contacted', 'yet']","['you', 'are', 'not', 'responsible', 'iselco', 'you', 'have', 'not', 'been', 'contacted', 'yet']",you are not responsible iselco you have not been contacted yet,not responsible iselco not contacted yet,not responsible iselco not contact yet,not responsible iselco not contact yet,Negative,1,-0.2411
02-Jun-23,service mess iselco,"['Your', 'service', 'is', 'very', 'messed', 'up', 'Iselco']","['your', 'service', 'is', 'very', 'messed', 'up', 'iselco']",your service is very messed up iselco,service messed iselco,service mess iselco,service mess iselco,Negative,1,-0.3612
02-Jun-23,thank iselco quick service,"['Thank', 'you', 'Iselco', 'for', 'your', 'quick', 'service']","['thank', 'you', 'iselco', 'for', 'your', 'quick', 'service']",thank you iselco for your quick service,thank iselco quick service,thank iselco quick service,thank iselco quick service,Positive,0,0.3612
07-Jun-23,hotline helpful,"['Hotline', 'is', 'very', 'helpful']","['hotline', 'is', 'very', 'helpful']",hotline is very helpful,hotline helpful,hotline helpful,hotline helpful,Positive,0,0.4215
08-Jun-23,customer service representative bad attitude,"['Customer', 'service', 'representatives', 'has', 'bad', 'attitude']","['customer', 'service', 'representatives', 'has', 'bad', 'attitude']",customer service representatives has bad attitude,customer service representatives bad attitude,customer service representative bad attitude,customer service representative bad attitude,Negative,1,-0.5423
08-Jun-23,charge u high service not good,"['You', 'charge', 'us', 'too', 'high', 'but', 'your', 'service', 'is', 'not', 'so', 'good']","['you', 'charge', 'us', 'too', 'high', 'but', 'your', 'service', 'is', 'not', 'so', 'good']",you charge us too high but your service is not so good,charge us high service not good,charge u high service not good,charge u high service not good,Negative,1,-0.3412
12-Jun-23,big provider would prefer change,"['Big', 'no', ',', 'if', 'there', 'is', 'other', 'provider', ',', 'I', 'would', 'prefer', 'to', 'change']","['big', 'no', ',', 'if', 'there', 'is', 'other', 'provider', ',', 'i', 'would', 'prefer', 'to', 'change']",big no  if there is other provider  i would prefer to change,big provider would prefer change,big provider would prefer change,big provider would prefer change,Negative,1,0
12-Jun-23,fee high frequent power trippings,"['The', 'fees', 'are', 'too', 'high', 'and', 'frequent', 'power', 'trippings']","['the', 'fees', 'are', 'too', 'high', 'and', 'frequent', 'power', 'trippings']",the fees are too high and frequent power trippings,fees high frequent power trippings,fee high frequent power trippings,fee high frequent power trippings,Negative,1,0
14-Jun-23,electric charge high still frequent brown happens,"['The', 'electric', 'charge', 'is', 'too', 'high', 'but', 'still', 'frequent', 'brown', 'out', 'happens']","['the', 'electric', 'charge', 'is', 'too', 'high', 'but', 'still', 'frequent', 'brown', 'out', 'happens']",the electric charge is too high but still frequent brown out happens,electric charge high still frequent brown happens,electric charge high still frequent brown happens,electric charge high still frequent brownout happens,Negative,1,0
15-Jun-23,brownout okay every day much,"['Having', 'a', 'brownout', 'once', 'in', 'a', 'while', 'is', 'okay', 'but', 'every', 'day', 'is', 'too', 'much', '.']","['having', 'a', 'brownout', 'once', 'in', 'a', 'while', 'is', 'okay', 'but', 'every', 'day', 'is', 'too', 'much', '.']",having a brownout once in a while is okay but every day is too much ,brownout okay every day much,brownout okay every day much,brownout okay every day much,Negative,1,0.2263
26-Jun-23,long rain brownout immediately,"['As', 'long', 'as', 'it', 'rains', 'brownout', 'immediately']","['as', 'long', 'as', 'it', 'rains', 'brownout', 'immediately']",as long as it rains brownout immediately,long rains brownout immediately,long rain brownout immediately,long rain brownout immediately,Negative,1,0
27-Jun-23,iselco four time brownout fix service light,"['Iselco', ',', 'four', 'times', 'brownout', 'again', ',', 'fix', 'your', 'service', ',', 'the', 'light', 'is', 'off']","['iselco', ',', 'four', 'times', 'brownout', 'again', ',', 'fix', 'your', 'service', ',', 'the', 'light', 'is', 'off']",iselco  four times brownout again  fix your service  the light is off,iselco four times brownout fix service light,iselco four time brownout fix service light,iselco four time brownout fix service light,Negative,1,0
27-Jun-23,demand explain u cause repeat brownout,"['we', 'demand', 'that', 'you', 'explain', 'to', 'us', 'the', 'causes', 'of', 'the', 'repeated', 'brownout', '.']","['we', 'demand', 'that', 'you', 'explain', 'to', 'us', 'the', 'causes', 'of', 'the', 'repeated', 'brownout', '.']",we demand that you explain to us the causes of the repeated brownout ,demand explain us causes repeated brownout,demand explain u cause repeat brownout,demand explain us cause repeat brownout,Negative,1,-0.128
27-Jun-23,always brownout wether rain shine,"['always', 'brownout', 'wether', 'rain', 'or', 'shine']","['always', 'brownout', 'wether', 'rain', 'or', 'shine']",always brownout wether rain or shine,always brownout wether rain shine,always brownout wether rain shine,always brownout wether rain shine,Negative,1,0
27-Jun-23,iselco say pay time improve service still change payment charge easily service not enough,"['Iselco', 'said', 'to', 'pay', 'on', 'time', 'to', 'improve', 'their', 'service', 'but', 'still', 'there', 'is', 'no', 'change', 'in', 'payment', ',', 'they', 'charge', 'easily', 'but', 'the', 'service', 'is', 'not', 'enough']","['iselco', 'said', 'to', 'pay', 'on', 'time', 'to', 'improve', 'their', 'service', 'but', 'still', 'there', 'is', 'no', 'change', 'in', 'payment', ',', 'they', 'charge', 'easily', 'but', 'the', 'service', 'is', 'not', 'enough']",iselco said to pay on time to improve their service but still there is no change in payment  they charge easily but the service is not enough,iselco said pay time improve service still change payment charge easily service not enough,iselco say pay time improve service still change payment charge easily service not enough,iselco say pay time improve service still change payment charge easily service not enough,Negative,1,0.5994
27-Jun-23,always brownout improve service bill high service low,"['always', 'brownout', ',', 'improve', 'your', 'service', 'because', 'the', 'bill', 'is', 'high', 'and', 'then', 'your', 'service', 'is', 'low']","['always', 'brownout', ',', 'improve', 'your', 'service', 'because', 'the', 'bill', 'is', 'high', 'and', 'then', 'your', 'service', 'is', 'low']",always brownout  improve your service because the bill is high and then your service is low,always brownout improve service bill high service low,always brownout improve service bill high service low,always brownout improve service bill high service low,Negative,1,0.2023
27-Jun-23,people sleep go conduct power outage,"['people', 'are', 'sleeping', 'then', 'you', 'are', 'going', 'to', 'conduct', 'power', 'outage', '.']","['people', 'are', 'sleeping', 'then', 'you', 'are', 'going', 'to', 'conduct', 'power', 'outage', '.']",people are sleeping then you are going to conduct power outage ,people sleeping going conduct power outage,people sleep go conduct power outage,people sleep go conduct power outage,Negative,1,0
27-Jun-23,iselco branch luna quirino notice cut immediately,"['Iselco', 'branch', 'Luna', 'Quirino', '.', 'No', 'notice', 'and', 'they', 'cut', 'immediately']","['iselco', 'branch', 'luna', 'quirino', '.', 'no', 'notice', 'and', 'they', 'cut', 'immediately']",iselco branch luna quirino  no notice and they cut immediately,iselco branch luna quirino notice cut immediately,iselco branch luna quirino notice cut immediately,iselco branch luna quirino notice cut immediately,Negative,1,-0.2732
27-Jun-23,electricity core shelter roxas please take care barangay,"['Why', 'is', 'there', 'no', 'electricity', 'in', 'the', 'core', 'shelter', 'in', 'Roxas', 'please', 'take', 'care', 'of', 'the', 'barangay']","['why', 'is', 'there', 'no', 'electricity', 'in', 'the', 'core', 'shelter', 'in', 'roxas', 'please', 'take', 'care', 'of', 'the', 'barangay']",why is there no electricity in the core shelter in roxas please take care of the barangay,electricity core shelter roxas please take care barangay,electricity core shelter roxas please take care barangay,electricity core shelter roxas please take care barangay,Negative,1,0.6705
27-Jun-23,employee iselco useless worthless not fix brownout,"['All', 'of', 'the', 'employees', 'of', 'iselco', 'are', 'useless', 'and', 'worthless', 'because', 'they', 'can', 'not', 'fix', 'the', 'brownout']","['all', 'of', 'the', 'employees', 'of', 'iselco', 'are', 'useless', 'and', 'worthless', 'because', 'they', 'can', 'not', 'fix', 'the', 'brownout']",all of the employees of iselco are useless and worthless because they can not fix the brownout,employees iselco useless worthless not fix brownout,employee iselco useless worthless not fix brownout,employee iselco useless worthless not fix brownout,Negative,1,-0.6908
27-Jun-23,general manager iselco leave office not deserve office,"['General', 'manager', 'of', 'iselco', ',', 'can', 'you', 'leave', 'the', 'office', 'because', 'you', 'do', 'not', 'deserve', 'the', 'office']","['general', 'manager', 'of', 'iselco', ',', 'can', 'you', 'leave', 'the', 'office', 'because', 'you', 'do', 'not', 'deserve', 'the', 'office']",general manager of iselco  can you leave the office because you do not deserve the office,general manager iselco leave office not deserve office,general manager iselco leave office not deserve office,general manager iselco leave office not deserve office,Negative,1,-0.0516
27-Jun-23,conduct power outage many time tonight employee iselco useless especially general manager,"['you', 'are', 'conducting', 'power', 'outage', 'so', 'many', 'times', 'tonight', ',', 'the', 'employees', 'of', 'iselco', 'are', 'useless', ',', 'especially', 'their', 'general', 'manager', '.']","['you', 'are', 'conducting', 'power', 'outage', 'so', 'many', 'times', 'tonight', ',', 'the', 'employees', 'of', 'iselco', 'are', 'useless', ',', 'especially', 'their', 'general', 'manager', '.']",you are conducting power outage so many times tonight  the employees of iselco are useless  especially their general manager ,conducting power outage many times tonight employees iselco useless especially general manager,conduct power outage many time tonight employee iselco useless especially general manager,conduct power outage many time tonight employee iselco useless especially general manager,Negative,1,-0.4215
02-Jul-23,costumer service not respond,"['Costumer', 'service', 'is', 'not', 'responding']","['costumer', 'service', 'is', 'not', 'responding']",costumer service is not responding,costumer service not responding,costumer service not respond,costumer service not respond,Negative,1,0
04-Jul-23,iselco continuously pleased timely friendly service,"['ISELCO', 'has', 'continuously', 'pleased', 'me', 'with', 'their', 'timely', 'and', 'friendly', 'service']","['iselco', 'has', 'continuously', 'pleased', 'me', 'with', 'their', 'timely', 'and', 'friendly', 'service']",iselco has continuously pleased me with their timely and friendly service,iselco continuously pleased timely friendly service,iselco continuously pleased timely friendly service,iselco continuously pleased timely friendly service,Positive,0,0.7269
04-Jul-23,employee always welcome willing help,"['Their', 'employees', 'are', 'always', 'welcoming', 'and', 'willing', 'to', 'help', '.']","['their', 'employees', 'are', 'always', 'welcoming', 'and', 'willing', 'to', 'help', '.']",their employees are always welcoming and willing to help ,employees always welcoming willing help,employee always welcome willing help,employee always welcome willing help,Positive,0,0.6908
06-Jul-23,always brown notice,"['Always', 'brown', 'out', 'and', 'there', 'is', 'no', 'notice']","['always', 'brown', 'out', 'and', 'there', 'is', 'no', 'notice']",always brown out and there is no notice,always brown notice,always brown notice,always brownout notice,Negative,1,0
06-Jul-23,power stretch morning night notice,"['The', 'power', 'is', 'out', 'and', 'stretches', 'from', 'morning', 'to', 'night', 'and', 'there', 'is', 'no', 'notice']","['the', 'power', 'is', 'out', 'and', 'stretches', 'from', 'morning', 'to', 'night', 'and', 'there', 'is', 'no', 'notice']",the power is out and stretches from morning to night and there is no notice,power stretches morning night notice,power stretch morning night notice,power stretch morning night notice,Negative,1,0
06-Jul-23,always brownout night reach four time night notice,"['Always', 'brownout', 'in', 'night', 'and', 'can', 'reached', 'up', 'to', 'four', 'times', 'a', 'night', 'and', 'there', 'is', 'no', 'notice']","['always', 'brownout', 'in', 'night', 'and', 'can', 'reached', 'up', 'to', 'four', 'times', 'a', 'night', 'and', 'there', 'is', 'no', 'notice']",always brownout in night and can reached up to four times a night and there is no notice,always brownout night reached four times night notice,always brownout night reach four time night notice,always brownout night reach four time night notice,Negative,1,0.0258
07-Jul-23,power always destroy appliance,"['The', 'power', 'is', 'always', 'off', ',', 'it', 'is', 'destroying', 'the', 'appliancess']","['the', 'power', 'is', 'always', 'off', ',', 'it', 'is', 'destroying', 'the', 'appliancess']",the power is always off  it is destroying the appliancess,power always destroying appliancess,power always destroy appliance,power always destroy appliance,Negative,1,-0.5423
07-Jul-23,power alwaysdead also pitiful childrens also appliance,"['The', 'power', 'is', 'alwaysdead', ',', 'it', 'is', 'also', 'pitiful', 'for', 'childrens', 'and', 'also', 'appliances']","['the', 'power', 'is', 'alwaysdead', ',', 'it', 'is', 'also', 'pitiful', 'for', 'childrens', 'and', 'also', 'appliances']",the power is alwaysdead  it is also pitiful for childrens and also appliances,power alwaysdead also pitiful childrens also appliances,power alwaysdead also pitiful childrens also appliance,power alwaysdead also pitiful childrens also appliance,Negative,1,-0.4939
07-Jul-23,pay right way service dissapointing,"['We', 'are', 'paying', 'the', 'right', 'way', 'but', 'your', 'service', 'is', 'very', 'dissapointing']","['we', 'are', 'paying', 'the', 'right', 'way', 'but', 'your', 'service', 'is', 'very', 'dissapointing']",we are paying the right way but your service is very dissapointing,paying right way service dissapointing,pay right way service dissapointing,pay right way service dissapointing,Negative,1,-0.1027
12-Jul-23,time plan light poor child,"['So', 'what', 'time', 'do', 'you', 'plan', 'to', 'light', 'it', 'up', '?', 'poor', 'children']","['so', 'what', 'time', 'do', 'you', 'plan', 'to', 'light', 'it', 'up', '?', 'poor', 'children']",so what time do you plan to light it up  poor children,time plan light poor children,time plan light poor child,time plan light poor child,Negative,1,-0.4767
12-Jul-23,always turn electricity not think,"['You', 'always', 'turn', 'off', 'the', 'electricity', '.', 'You', 'did', 'not', 'think', 'about', 'it']","['you', 'always', 'turn', 'off', 'the', 'electricity', '.', 'you', 'did', 'not', 'think', 'about', 'it']",you always turn off the electricity  you did not think about it,always turn electricity not think,always turn electricity not think,always turn electricity not think,Negative,1,0
12-Jul-23,disappoint unexpected brownout always,"['so', 'disappointing', ',', 'the', 'unexpected', 'brownout', 'always']","['so', 'disappointing', ',', 'the', 'unexpected', 'brownout', 'always']",so disappointing  the unexpected brownout always,disappointing unexpected brownout always,disappoint unexpected brownout always,disappoint unexpected brownout always,Negative,1,-0.4019
12-Jul-23,guy bad pay properly brownout bad,"['you', 'guys', 'are', 'so', 'bad', ',', 'we', 'pay', 'properly', ',', 'the', 'brownout', 'is', 'so', 'bad']","['you', 'guys', 'are', 'so', 'bad', ',', 'we', 'pay', 'properly', ',', 'the', 'brownout', 'is', 'so', 'bad']",you guys are so bad  we pay properly  the brownout is so bad,guys bad pay properly brownout bad,guy bad pay properly brownout bad,guy bad pay properly brownout bad,Negative,1,-0.8126
12-Jul-23,even not light embarrass iselco,"['Even', 'if', 'you', 'do', 'not', 'light', 'it', ',', 'it', 'is', 'embarrassing', 'for', 'you', 'Iselco']","['even', 'if', 'you', 'do', 'not', 'light', 'it', ',', 'it', 'is', 'embarrassing', 'for', 'you', 'iselco']",even if you do not light it  it is embarrassing for you iselco,even not light embarrassing iselco,even not light embarrass iselco,even not light embarrass iselco,Negative,1,0.2235
12-Jul-23,system rotten,"['your', 'system', 'is', 'rotten']","['your', 'system', 'is', 'rotten']",your system is rotten,system rotten,system rotten,system rotten,Negative,1,-0.5106
12-Jul-23,service really corny worthless,"['Your', 'services', 'are', 'really', 'corny', ',', 'you', 'are', 'worthless', '.']","['your', 'services', 'are', 'really', 'corny', ',', 'you', 'are', 'worthless', '.']",your services are really corny  you are worthless ,services really corny worthless,service really corny worthless,service really corny worthless,Negative,1,-0.4902
12-Jul-23,far bad experience please job well,"['This', 'by', 'far', 'is', 'the', 'worst', 'experience', 'we', 'had', '.', 'PLEASE', 'DO', 'YOUR', 'JOB', 'BETTER', '.']","['this', 'by', 'far', 'is', 'the', 'worst', 'experience', 'we', 'had', '.', 'please', 'do', 'your', 'job', 'better', '.']",this by far is the worst experience we had  please do your job better ,far worst experience please job better,far bad experience please job well,far bad experience please job well,Negative,1,-0.0258
12-Jul-23,poor linemen,"['Poor', 'linemen']","['poor', 'linemen']",poor linemen,poor linemen,poor linemen,poor linemen,Negative,1,-0.4767
12-Jul-23,iselco useless schedule preventive maintenance power line,"['Iselco', 'is', 'useless', ',', 'you', 'should', 'scheduled', 'preventive', 'maintenance', 'on', 'the', 'power', 'line', '.']","['iselco', 'is', 'useless', ',', 'you', 'should', 'scheduled', 'preventive', 'maintenance', 'on', 'the', 'power', 'line', '.']",iselco is useless  you should scheduled preventive maintenance on the power line ,iselco useless scheduled preventive maintenance power line,iselco useless schedule preventive maintenance power line,iselco useless schedule preventive maintenance power line,Negative,1,-0.4215
12-Jul-23,maybe want fix work properly electricity bill expensive brownout almost every day,"['maybe', 'you', 'want', 'to', 'fix', 'your', 'work', 'properly', '.', 'your', 'electricity', 'bill', 'is', 'expensive', 'but', 'brownout', 'almost', 'every', 'day']","['maybe', 'you', 'want', 'to', 'fix', 'your', 'work', 'properly', '.', 'your', 'electricity', 'bill', 'is', 'expensive', 'but', 'brownout', 'almost', 'every', 'day']",maybe you want to fix your work properly  your electricity bill is expensive but brownout almost every day,maybe want fix work properly electricity bill expensive brownout almost every day,maybe want fix work properly electricity bill expensive brownout almost every day,maybe want fix work properly electricity bill expensive brownout almost every day,Negative,1,0.0772
12-Jul-23,least kind enough give update inconvenience underwhelming,"['At', 'least', 'be', 'kind', 'enough', 'to', 'give', 'an', 'update', '.', 'What', 'an', 'inconvenience', '.', 'This', 'is', 'so', 'underwhelming', '.']","['at', 'least', 'be', 'kind', 'enough', 'to', 'give', 'an', 'update', '.', 'what', 'an', 'inconvenience', '.', 'this', 'is', 'so', 'underwhelming', '.']",at least be kind enough to give an update  what an inconvenience  this is so underwhelming ,least kind enough give update inconvenience underwhelming,least kind enough give update inconvenience underwhelming,least kind enough give update inconvenience underwhelming,Negative,1,-0.6458
12-Jul-23,upgrade hope action plan make come year,"['upgrade', ',', 'I', 'hope', 'we', 'have', 'an', 'action', 'plan', 'that', 'is', 'being', 'made', 'for', 'the', 'coming', 'years']","['upgrade', ',', 'i', 'hope', 'we', 'have', 'an', 'action', 'plan', 'that', 'is', 'being', 'made', 'for', 'the', 'coming', 'years']",upgrade  i hope we have an action plan that is being made for the coming years,upgrade hope action plan made coming years,upgrade hope action plan make come year,upgrade hope action plan make come year,Neutral,2,0.4404
12-Jul-23,maintenance fast line always clear easily trace problem,"['Your', 'maintenance', 'should', 'be', 'fast', 'because', 'all', 'your', 'lines', 'are', 'always', 'clear', 'so', 'you', 'can', 'easily', 'trace', 'the', 'problem']","['your', 'maintenance', 'should', 'be', 'fast', 'because', 'all', 'your', 'lines', 'are', 'always', 'clear', 'so', 'you', 'can', 'easily', 'trace', 'the', 'problem']",your maintenance should be fast because all your lines are always clear so you can easily trace the problem,maintenance fast lines always clear easily trace problem,maintenance fast line always clear easily trace problem,maintenance fast line always clear easily trace problem,Negative,1,0.3182
12-Jul-23,iselco steal electricity kick back big,"['ISELCO', ',', 'you', 'are', 'just', 'stealing', 'electricity', 'so', 'that', 'your', 'kick', 'back', 'is', 'big']","['iselco', ',', 'you', 'are', 'just', 'stealing', 'electricity', 'so', 'that', 'your', 'kick', 'back', 'is', 'big']",iselco  you are just stealing electricity so that your kick back is big,iselco stealing electricity kick back big,iselco steal electricity kick back big,iselco steal electricity kick back big,Negative,1,-0.4939
12-Jul-23,iselco please update u time power instead wait nothing,"['Iselco', ',', 'please', 'update', 'us', 'on', 'what', 'time', 'we', 'will', 'have', 'power', 'instead', 'of', 'waiting', 'for', 'nothing']","['iselco', ',', 'please', 'update', 'us', 'on', 'what', 'time', 'we', 'will', 'have', 'power', 'instead', 'of', 'waiting', 'for', 'nothing']",iselco  please update us on what time we will have power instead of waiting for nothing,iselco please update us time power instead waiting nothing,iselco please update u time power instead wait nothing,iselco please update u time power instead wait nothing,Negative,1,0.3182
12-Jul-23,inconsiderate,['INCONSIDERATE'],['inconsiderate'],inconsiderate,inconsiderate,inconsiderate,inconsiderate,Negative,1,-0.4404
12-Jul-23,not worth consumer pay,"['It', 'is', 'not', 'worth', 'what', 'we', 'consumers', 'pay', 'you', '.']","['it', 'is', 'not', 'worth', 'what', 'we', 'consumers', 'pay', 'you', '.']",it is not worth what we consumers pay you ,not worth consumers pay,not worth consumer pay,not worth consumer pay,Negative,1,-0.0951
12-Jul-23,almost every day power interruption not even fix,"['Almost', 'every', 'day', 'there', 'is', 'a', 'power', 'interruption', ',', 'they', 'can', 'not', 'even', 'fix', 'it']","['almost', 'every', 'day', 'there', 'is', 'a', 'power', 'interruption', ',', 'they', 'can', 'not', 'even', 'fix', 'it']",almost every day there is a power interruption  they can not even fix it,almost every day power interruption not even fix,almost every day power interruption not even fix,almost every day power interruption not even fix,Negative,1,-0.3612
12-Jul-23,manila matter typhoon power outage isabela electric charge big service rotten,"['In', 'Manila', ',', 'no', 'matter', 'what', 'the', 'typhoon', 'is', ',', 'there', 'is', 'no', 'power', 'outage', '.', 'Here', 'in', 'isabela', ',', 'the', 'electric', 'charge', 'is', 'big', '.', 'Your', 'service', 'is', 'rotten', '.']","['in', 'manila', ',', 'no', 'matter', 'what', 'the', 'typhoon', 'is', ',', 'there', 'is', 'no', 'power', 'outage', '.', 'here', 'in', 'isabela', ',', 'the', 'electric', 'charge', 'is', 'big', '.', 'your', 'service', 'is', 'rotten', '.']",in manila  no matter what the typhoon is  there is no power outage  here in isabela  the electric charge is big  your service is rotten ,manila matter typhoon power outage isabela electric charge big service rotten,manila matter typhoon power outage isabela electric charge big service rotten,manila matter typhoon power outage isabela electric charge big service rotten,Negative,1,-0.4939
12-Jul-23,post power interruption turn light earlier post,"['You', 'posted', 'a', 'power', 'interruption', '.', 'You', 'turned', 'off', 'the', 'light', 'earlier', 'than', 'your', 'post', '.']","['you', 'posted', 'a', 'power', 'interruption', '.', 'you', 'turned', 'off', 'the', 'light', 'earlier', 'than', 'your', 'post', '.']",you posted a power interruption  you turned off the light earlier than your post ,posted power interruption turned light earlier post,post power interruption turn light earlier post,post power interruption turn light earlier post,Negative,1,-0.3612
12-Jul-23,ilagan sub station pro tripped consumer not anything,"['the', 'ilagan', 'sub', 'station', 'pro', 'tripped', ',', 'we', 'consumers', 'can', 'not', 'do', 'anything']","['the', 'ilagan', 'sub', 'station', 'pro', 'tripped', ',', 'we', 'consumers', 'can', 'not', 'do', 'anything']",the ilagan sub station pro tripped  we consumers can not do anything,ilagan sub station pro tripped consumers not anything,ilagan sub station pro tripped consumer not anything,ilagan sub station pro tripped consumer not anything,Negative,1,0
12-Jul-23,shame people say negative feedback service rotten,"['shame', 'on', 'you', '!', 'people', 'just', 'say', 'negative', 'feedback', 'to', 'you', '.', 'your', 'service', 'is', 'rotten']","['shame', 'on', 'you', '!', 'people', 'just', 'say', 'negative', 'feedback', 'to', 'you', '.', 'your', 'service', 'is', 'rotten']",shame on you  people just say negative feedback to you  your service is rotten,shame people say negative feedback service rotten,shame people say negative feedback service rotten,shame people say negative feedback service rotten,Negative,1,-0.8779
12-Jul-23,always schedule brown not fix service destroy appliance,"['You', 'always', 'schedule', 'brown', 'out', 'but', 'you', 'can', 'not', 'fix', 'your', 'service', '!', 'You', 'destroy', 'appliances']","['you', 'always', 'schedule', 'brown', 'out', 'but', 'you', 'can', 'not', 'fix', 'your', 'service', '!', 'you', 'destroy', 'appliances']",you always schedule brown out but you can not fix your service  you destroy appliances,always schedule brown not fix service destroy appliances,always schedule brown not fix service destroy appliance,always schedule brownout not fix service destroy appliance,Negative,1,0.431
12-Jul-23,always tripped maintenance fee big,"['Always', 'tripped', 'and', 'then', 'the', 'maintenance', 'fee', 'is', 'big', '!']","['always', 'tripped', 'and', 'then', 'the', 'maintenance', 'fee', 'is', 'big', '!']",always tripped and then the maintenance fee is big ,always tripped maintenance fee big,always tripped maintenance fee big,always tripped maintenance fee big,Negative,1,0
12-Jul-23,good brownout iselco not update right away,"['You', 'are', 'good', 'at', 'brownout', 'Iselco', ',', 'you', 'do', 'not', 'update', 'right', 'away']","['you', 'are', 'good', 'at', 'brownout', 'iselco', ',', 'you', 'do', 'not', 'update', 'right', 'away']",you are good at brownout iselco  you do not update right away,good brownout iselco not update right away,good brownout iselco not update right away,good brownout iselco not update right away,Negative,1,0.4404
12-Jul-23,guy really good iselco best really good annoy people,"['You', 'guys', 'are', 'really', 'good', ',', 'iselco', ',', 'the', 'best', 'is', 'that', 'you', 'are', 'really', 'good', 'at', 'annoying', 'people']","['you', 'guys', 'are', 'really', 'good', ',', 'iselco', ',', 'the', 'best', 'is', 'that', 'you', 'are', 'really', 'good', 'at', 'annoying', 'people']",you guys are really good  iselco  the best is that you are really good at annoying people,guys really good iselco best really good annoying people,guy really good iselco best really good annoy people,guy really good iselco best really good annoy people,Negative,1,0.8258
12-Jul-23,always brow especially ilagan little rain brown,"['Always', 'brow', 'out', ',', 'especially', 'in', 'Ilagan', '.', 'Little', 'rain', 'and', 'brown', 'out', 'again']","['always', 'brow', 'out', ',', 'especially', 'in', 'ilagan', '.', 'little', 'rain', 'and', 'brown', 'out', 'again']",always brow out  especially in ilagan  little rain and brown out again,always brow especially ilagan little rain brown,always brow especially ilagan little rain brown,always brownout especially ilagan little rain brown,Negative,1,0
12-Jul-23,always brown especially ilagan,"['Always', 'brown', 'out', 'especially', 'in', 'Ilagan']","['always', 'brown', 'out', 'especially', 'in', 'ilagan']",always brown out especially in ilagan,always brown especially ilagan,always brown especially ilagan,always brownout especially ilagan,Negative,1,0
13-Jul-23,maybe worker pretend move,"['Maybe', 'your', 'workers', 'are', 'just', 'pretending', 'to', 'be', 'moving']","['maybe', 'your', 'workers', 'are', 'just', 'pretending', 'to', 'be', 'moving']",maybe your workers are just pretending to be moving,maybe workers pretending moving,maybe worker pretend move,maybe worker pretend move,Negative,1,-0.1027
13-Jul-23,happen night always brownout bill not go,"['Why', 'does', 'that', 'happen', 'at', 'night', ',', 'always', 'brownout', ',', 'the', 'bill', 'does', 'not', 'go', 'down']","['why', 'does', 'that', 'happen', 'at', 'night', ',', 'always', 'brownout', ',', 'the', 'bill', 'does', 'not', 'go', 'down']",why does that happen at night  always brownout  the bill does not go down,happen night always brownout bill not go,happen night always brownout bill not go,happen night always brownout bill not go down,Negative,1,0
13-Jul-23,brownout could prevent team proactive,"['brownout', 'could', 'have', 'been', 'prevented', 'if', 'the', 'team', 'will', 'be', 'more', 'proactive']","['brownout', 'could', 'have', 'been', 'prevented', 'if', 'the', 'team', 'will', 'be', 'more', 'proactive']",brownout could have been prevented if the team will be more proactive,brownout could prevented team proactive,brownout could prevent team proactive,brownout could prevent team proactive,Neutral,2,0.4404
13-Jul-23,please explain take long time fix,"['Please', 'explain', 'if', 'it', 'takes', 'a', 'long', 'time', 'to', 'fix']","['please', 'explain', 'if', 'it', 'takes', 'a', 'long', 'time', 'to', 'fix']",please explain if it takes a long time to fix,please explain takes long time fix,please explain take long time fix,please explain take long time fix,Neutral,2,0.3182
13-Jul-23,understand linemen,"['We', 'understand', 'linemen']","['we', 'understand', 'linemen']",we understand linemen,understand linemen,understand linemen,understand linemen,Positive,0,0
13-Jul-23,service trash still power,"['Your', 'service', 'is', 'trash', 'until', 'now', 'there', 'is', 'still', 'no', 'power', '!']","['your', 'service', 'is', 'trash', 'until', 'now', 'there', 'is', 'still', 'no', 'power', '!']",your service is trash until now there is still no power ,service trash still power,service trash still power,service trash still no power,Negative,1,0
13-Jul-23,know sincerely serious perversion yes really bad,"['You', 'know', 'sincerely', 'that', 'it', 'is', 'a', 'serious', 'perversion', ',', 'yes', 'it', 'is', 'really', 'bad']","['you', 'know', 'sincerely', 'that', 'it', 'is', 'a', 'serious', 'perversion', ',', 'yes', 'it', 'is', 'really', 'bad']",you know sincerely that it is a serious perversion  yes it is really bad,know sincerely serious perversion yes really bad,know sincerely serious perversion,know sincerely serious perversion yes really bad,Negative,1,-0.1513
