Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Self Control,Addiction Level,CurrentActivity,ConnectionType,Average Video Length,Engagement Rate,Time Spent Per Session
54,Male,India,99025,True,True,Driver,Rural,Facebook,76,3,29,2523,9,7,38,60,Night,3,7,5,5,At home,Mobile Data,0.18421052631578946,66.39473684210526,25.333333333333332
40,Male,India,52658,True,False,Students,Rural,YouTube,102,17,26,2639,1,11,43,13,Evening,6,4,8,2,At home,Mobile Data,0.2558139534883721,61.372093023255815,6.0
56,Other,India,26852,False,False,Waiting staff,Urban,Facebook,185,14,22,6159,9,8,21,3,Afternoon,5,5,7,3,At home,Mobile Data,0.38095238095238093,293.2857142857143,13.214285714285714
62,Male,United States,22551,False,True,Students,Urban,YouTube,154,6,1,3909,6,7,27,68,Night,3,7,5,5,At school,Mobile Data,0.25925925925925924,144.77777777777777,25.666666666666668
32,Male,United States,91947,True,True,Students,Urban,Facebook,16,8,26,1164,4,28,46,4,Afternoon,5,5,7,3,At home,Mobile Data,0.6086956521739131,25.304347826086957,2.0
60,Female,Japan,81001,True,True,Students,Rural,Instagram,278,5,21,619,7,19,6,92,Night,3,7,5,5,At work,Wi-Fi,3.1666666666666665,103.16666666666667,55.6
46,Other,Pakistan,69159,True,False,Driver,Rural,TikTok,13,8,7,7982,9,20,38,7,Night,3,7,5,5,At school,Mobile Data,0.5263157894736842,210.05263157894737,1.625
53,Female,Vietnam,71707,True,False,Manager,Rural,Instagram,147,2,15,3066,5,12,49,26,Evening,6,4,8,2,At school,Mobile Data,0.24489795918367346,62.57142857142857,73.5
30,Other,India,53243,True,False,Students,Rural,Facebook,240,15,29,4872,5,7,11,75,Evening,6,4,8,2,Commuting,Mobile Data,0.6363636363636364,442.90909090909093,16.0
49,Male,India,41800,False,True,Waiting staff,Rural,TikTok,97,12,22,8638,8,8,47,24,Afternoon,5,5,7,3,At work,Wi-Fi,0.1702127659574468,183.7872340425532,8.083333333333334
24,Male,Indonesia,95939,True,False,Labor/Worker,Urban,YouTube,26,17,13,2337,7,7,41,10,Afternoon,5,5,7,3,At home,Wi-Fi,0.17073170731707318,57.0,1.5294117647058822
39,Other,Japan,77828,True,False,Students,Rural,Facebook,61,1,13,8400,8,6,17,13,Night,3,7,5,5,At work,Mobile Data,0.35294117647058826,494.11764705882354,61.0
45,Male,India,27239,False,False,Manager,Rural,TikTok,143,15,28,5594,2,25,39,44,Evening,6,4,8,2,At home,Mobile Data,0.6410256410256411,143.43589743589743,9.533333333333333
19,Male,Japan,26710,False,False,Cashier,Urban,YouTube,220,14,9,2460,9,9,7,39,Evening,6,4,8,2,Commuting,Mobile Data,1.2857142857142858,351.42857142857144,15.714285714285714
59,Male,Japan,41384,False,True,Engineer,Urban,YouTube,228,16,24,6820,3,27,30,19,Afternoon,5,5,7,3,At work,Mobile Data,0.9,227.33333333333334,14.25
62,Male,Philippines,41038,False,False,Labor/Worker,Rural,Instagram,214,9,15,5546,6,13,21,51,Evening,6,4,8,2,At school,Mobile Data,0.6190476190476191,264.0952380952381,23.77777777777778
23,Male,Japan,60846,True,True,Students,Urban,Facebook,220,1,4,3442,6,7,1,19,Evening,6,4,8,2,At school,Wi-Fi,7.0,3442.0,220.0
45,Female,United States,87821,True,False,Waiting staff,Rural,YouTube,286,17,13,2711,2,8,25,76,Afternoon,5,5,7,3,At work,Mobile Data,0.32,108.44,16.823529411764707
45,Female,Philippines,57991,True,True,Labor/Worker,Rural,TikTok,33,13,27,1291,7,22,32,52,Afternoon,5,5,7,3,At home,Mobile Data,0.6875,40.34375,2.5384615384615383
61,Male,Japan,99057,True,False,Driver,Rural,YouTube,13,5,12,5374,9,17,8,86,Afternoon,5,5,7,3,At school,Wi-Fi,2.125,671.75,2.6
61,Male,Germany,26971,False,True,Students,Rural,YouTube,161,10,5,9592,1,17,5,47,Night,3,7,5,5,At work,Mobile Data,3.4,1918.4,16.1
37,Female,United States,49139,False,False,Cashier,Rural,Instagram,268,6,7,2655,8,16,30,30,Night,3,7,5,5,At work,Mobile Data,0.5333333333333333,88.5,44.666666666666664
47,Male,India,97067,True,True,Cashier,Rural,Instagram,177,19,8,6513,2,22,8,46,Evening,6,4,8,2,At home,Mobile Data,2.75,814.125,9.31578947368421
28,Male,Philippines,57711,True,False,Students,Urban,TikTok,185,13,5,7394,1,2,49,76,Night,3,7,5,5,Commuting,Wi-Fi,0.04081632653061224,150.89795918367346,14.23076923076923
45,Female,Indonesia,26530,False,True,Teacher,Urban,Instagram,65,1,9,704,8,8,19,93,Evening,6,4,8,2,At work,Mobile Data,0.42105263157894735,37.05263157894737,65.0
42,Male,United States,31116,False,False,Waiting staff,Rural,YouTube,117,15,14,825,2,17,44,21,Morning,8,2,10,0,At home,Wi-Fi,0.38636363636363635,18.75,7.8
56,Female,Indonesia,85794,True,True,Labor/Worker,Rural,YouTube,150,14,26,9196,6,13,30,75,Evening,6,4,8,2,At school,Mobile Data,0.43333333333333335,306.53333333333336,10.714285714285714
50,Male,India,20282,False,False,Driver,Urban,Instagram,164,8,12,376,6,18,15,48,Afternoon,5,5,7,3,At work,Mobile Data,1.2,25.066666666666666,20.5
18,Other,Indonesia,99473,True,True,Waiting staff,Urban,YouTube,271,10,4,972,5,24,36,62,Afternoon,5,5,7,3,At home,Mobile Data,0.6666666666666666,27.0,27.1
44,Female,India,21898,False,False,Engineer,Rural,YouTube,282,9,20,4213,8,28,44,58,Evening,6,4,8,2,At school,Mobile Data,0.6363636363636364,95.75,31.333333333333332
30,Female,India,24135,False,True,Driver,Rural,TikTok,241,17,29,443,3,22,27,18,Evening,6,4,8,2,At school,Mobile Data,0.8148148148148148,16.40740740740741,14.176470588235293
58,Male,Philippines,26629,False,False,Labor/Worker,Rural,Instagram,250,9,8,7519,4,28,13,59,Evening,6,4,8,2,At school,Wi-Fi,2.1538461538461537,578.3846153846154,27.77777777777778
20,Female,Japan,85031,True,True,Cashier,Rural,YouTube,267,3,17,754,7,10,14,91,Evening,6,4,8,2,At school,Mobile Data,0.7142857142857143,53.857142857142854,89.0
56,Male,Barzil,53380,True,False,Labor/Worker,Rural,Instagram,258,11,8,4735,7,2,37,48,Night,3,7,5,5,At home,Wi-Fi,0.05405405405405406,127.97297297297297,23.454545454545453
23,Male,India,37071,False,True,Labor/Worker,Urban,TikTok,86,12,21,5396,8,2,48,63,Evening,6,4,8,2,At work,Mobile Data,0.041666666666666664,112.41666666666667,7.166666666666667
25,Male,Philippines,40074,False,False,Artist,Rural,Instagram,189,10,29,3465,2,27,30,12,Afternoon,5,5,7,3,At home,Mobile Data,0.9,115.5,18.9
44,Male,Germany,87843,True,True,Waiting staff,Urban,YouTube,75,17,27,2711,2,14,39,87,Morning,8,2,10,0,At work,Mobile Data,0.358974358974359,69.51282051282051,4.411764705882353
26,Female,India,59901,True,True,Driver,Rural,Instagram,180,17,1,2407,4,16,47,34,Morning,8,2,10,0,Commuting,Wi-Fi,0.3404255319148936,51.212765957446805,10.588235294117647
54,Male,Mexico,31205,False,True,Teacher,Rural,YouTube,31,11,20,8814,9,7,13,61,Morning,8,2,10,0,At home,Mobile Data,0.5384615384615384,678.0,2.8181818181818183
50,Male,Indonesia,75661,True,True,Engineer,Rural,YouTube,116,4,2,5588,9,21,16,87,Evening,6,4,8,2,At work,Wi-Fi,1.3125,349.25,29.0
59,Other,Barzil,25906,False,False,Driver,Rural,YouTube,236,7,4,6104,4,21,44,53,Evening,6,4,8,2,At home,Wi-Fi,0.4772727272727273,138.72727272727272,33.714285714285715
61,Male,Japan,22591,False,True,Waiting staff,Urban,TikTok,225,14,24,5747,9,24,7,25,Evening,6,4,8,2,At home,Wi-Fi,3.4285714285714284,821.0,16.071428571428573
41,Female,United States,82987,True,True,Labor/Worker,Rural,Instagram,78,7,21,1723,3,12,48,62,Afternoon,5,5,7,3,At home,Mobile Data,0.25,35.895833333333336,11.142857142857142
32,Other,India,83370,True,True,Teacher,Urban,TikTok,93,8,1,7224,5,28,27,4,Evening,6,4,8,2,At school,Wi-Fi,1.037037037037037,267.55555555555554,11.625
49,Male,Vietnam,74400,True,False,Waiting staff,Rural,Instagram,112,1,7,1919,9,23,45,94,Evening,6,4,8,2,At home,Mobile Data,0.5111111111111111,42.644444444444446,112.0
49,Male,Pakistan,45150,False,True,Waiting staff,Rural,TikTok,48,4,1,918,6,28,35,94,Evening,6,4,8,2,At home,Mobile Data,0.8,26.228571428571428,12.0
41,Male,Barzil,51852,True,False,Manager,Urban,Facebook,22,12,9,4215,3,14,15,13,Night,3,7,5,5,At work,Wi-Fi,0.9333333333333333,281.0,1.8333333333333333
58,Male,United States,62870,True,False,Artist,Rural,YouTube,190,3,3,581,9,25,28,42,Morning,8,2,10,0,At home,Wi-Fi,0.8928571428571429,20.75,63.333333333333336
29,Male,India,72756,True,False,Students,Rural,YouTube,277,13,12,3881,6,4,35,49,Evening,6,4,8,2,Commuting,Mobile Data,0.11428571428571428,110.88571428571429,21.307692307692307
56,Other,Vietnam,76481,True,False,Labor/Worker,Rural,TikTok,22,6,19,9878,4,26,7,78,Evening,6,4,8,2,At school,Wi-Fi,3.7142857142857144,1411.142857142857,3.6666666666666665
19,Female,Philippines,21283,False,False,Driver,Rural,Facebook,129,11,15,3909,4,4,46,56,Morning,8,2,10,0,At home,Mobile Data,0.08695652173913043,84.97826086956522,11.727272727272727
20,Female,Japan,53691,True,True,Labor/Worker,Rural,YouTube,66,4,22,1999,8,18,46,47,Evening,6,4,8,2,At home,Mobile Data,0.391304347826087,43.45652173913044,16.5
54,Female,India,21125,False,False,Artist,Rural,Instagram,49,16,16,400,7,3,20,8,Night,3,7,5,5,At school,Wi-Fi,0.15,20.0,3.0625
34,Male,India,87065,True,False,Students,Rural,TikTok,137,7,10,3648,1,1,32,55,Night,3,7,5,5,Commuting,Wi-Fi,0.03125,114.0,19.571428571428573
19,Male,India,46170,False,True,Engineer,Urban,YouTube,182,11,22,5445,6,17,38,88,Evening,6,4,8,2,At school,Mobile Data,0.4473684210526316,143.28947368421052,16.545454545454547
19,Male,India,28438,False,True,Waiting staff,Rural,YouTube,44,1,29,2628,8,7,40,18,Night,3,7,5,5,At school,Wi-Fi,0.175,65.7,44.0
45,Female,Vietnam,40095,False,True,Waiting staff,Rural,TikTok,268,7,27,1656,3,16,32,35,Evening,6,4,8,2,Commuting,Wi-Fi,0.5,51.75,38.285714285714285
40,Male,Indonesia,36154,False,False,Driver,Rural,TikTok,14,12,27,620,9,5,26,89,Night,3,7,5,5,At home,Mobile Data,0.19230769230769232,23.846153846153847,1.1666666666666667
54,Male,Pakistan,28004,False,False,Driver,Rural,Instagram,227,7,6,246,2,19,39,81,Evening,6,4,8,2,At school,Wi-Fi,0.48717948717948717,6.3076923076923075,32.42857142857143
49,Female,Germany,29752,False,False,Students,Rural,Instagram,20,7,29,5212,6,7,20,32,Evening,6,4,8,2,At home,Mobile Data,0.35,260.6,2.857142857142857
50,Other,India,75426,True,True,Manager,Rural,YouTube,126,10,17,3339,1,14,18,24,Afternoon,5,5,7,3,At work,Wi-Fi,0.7777777777777778,185.5,12.6
18,Other,Mexico,46819,False,False,Waiting staff,Urban,YouTube,193,16,21,6758,2,2,15,7,Evening,6,4,8,2,At school,Mobile Data,0.13333333333333333,450.53333333333336,12.0625
36,Female,Pakistan,44217,False,False,Labor/Worker,Rural,TikTok,125,8,28,7086,5,3,22,13,Evening,6,4,8,2,At work,Mobile Data,0.13636363636363635,322.09090909090907,15.625
19,Male,India,52994,True,False,Students,Rural,YouTube,171,9,22,3010,1,17,22,91,Evening,6,4,8,2,At school,Mobile Data,0.7727272727272727,136.8181818181818,19.0
61,Male,Japan,35036,False,False,Artist,Rural,YouTube,76,9,24,4719,8,16,21,69,Night,3,7,5,5,At home,Mobile Data,0.7619047619047619,224.71428571428572,8.444444444444445
43,Male,India,97275,True,True,Engineer,Rural,TikTok,209,2,29,2368,1,8,2,90,Evening,6,4,8,2,At home,Mobile Data,4.0,1184.0,104.5
49,Male,United States,69416,True,False,Waiting staff,Urban,YouTube,40,13,17,1839,9,18,40,42,Morning,8,2,10,0,At home,Mobile Data,0.45,45.975,3.076923076923077
23,Other,Pakistan,29587,False,True,Manager,Rural,YouTube,84,13,21,2903,3,15,43,31,Night,3,7,5,5,Commuting,Mobile Data,0.3488372093023256,67.51162790697674,6.461538461538462
49,Male,Mexico,20645,False,False,Manager,Rural,Facebook,246,4,19,6205,2,7,18,74,Night,3,7,5,5,At home,Mobile Data,0.3888888888888889,344.72222222222223,61.5
21,Male,India,50930,True,True,Students,Urban,Instagram,75,12,18,4395,1,27,23,26,Night,3,7,5,5,At school,Mobile Data,1.173913043478261,191.08695652173913,6.25
28,Male,Indonesia,50090,True,False,Students,Rural,TikTok,79,17,11,5767,9,9,13,86,Evening,6,4,8,2,At work,Wi-Fi,0.6923076923076923,443.61538461538464,4.647058823529412
34,Other,Vietnam,72142,True,True,Waiting staff,Rural,Facebook,29,2,24,3691,4,6,41,76,Afternoon,5,5,7,3,At school,Mobile Data,0.14634146341463414,90.02439024390245,14.5
55,Other,United States,46475,False,False,Students,Rural,Instagram,235,13,7,7470,1,18,9,32,Evening,6,4,8,2,At school,Wi-Fi,2.0,830.0,18.076923076923077
41,Male,Philippines,38888,False,True,Labor/Worker,Rural,Instagram,208,18,10,3841,1,18,49,91,Evening,6,4,8,2,At home,Mobile Data,0.3673469387755102,78.38775510204081,11.555555555555555
22,Male,Pakistan,63732,True,False,Manager,Rural,Instagram,48,15,7,4348,7,25,7,97,Evening,6,4,8,2,At work,Wi-Fi,3.5714285714285716,621.1428571428571,3.2
51,Male,Japan,66305,True,True,Engineer,Rural,Facebook,154,8,5,6621,2,26,41,52,Night,3,7,5,5,At work,Wi-Fi,0.6341463414634146,161.4878048780488,19.25
23,Male,Vietnam,66037,True,False,Engineer,Rural,Facebook,54,15,12,1392,7,24,1,20,Night,3,7,5,5,At school,Wi-Fi,24.0,1392.0,3.6
39,Other,United States,29346,False,True,Manager,Rural,Instagram,100,1,16,6060,7,14,2,40,Evening,6,4,8,2,At home,Mobile Data,7.0,3030.0,100.0
28,Male,India,20587,False,False,Labor/Worker,Rural,YouTube,247,10,29,4255,9,14,4,59,Night,3,7,5,5,At home,Mobile Data,3.5,1063.75,24.7
33,Female,United States,32763,False,True,Students,Rural,YouTube,79,12,25,4300,7,14,14,77,Night,3,7,5,5,At school,Mobile Data,1.0,307.14285714285717,6.583333333333333
50,Male,Vietnam,79165,True,False,Cashier,Rural,Facebook,175,5,21,3338,1,25,32,14,Night,3,7,5,5,At school,Mobile Data,0.78125,104.3125,35.0
26,Other,United States,89615,True,True,Students,Urban,Facebook,139,9,18,5487,8,4,36,44,Night,3,7,5,5,At home,Wi-Fi,0.1111111111111111,152.41666666666666,15.444444444444445
23,Male,Germany,56116,True,False,Waiting staff,Urban,Facebook,223,8,3,3514,8,4,2,86,Afternoon,5,5,7,3,Commuting,Mobile Data,2.0,1757.0,27.875
33,Female,Barzil,45556,False,True,Driver,Urban,Instagram,98,16,20,759,4,15,40,82,Evening,6,4,8,2,Commuting,Mobile Data,0.375,18.975,6.125
46,Female,Indonesia,79042,True,False,Students,Urban,YouTube,261,14,15,9915,8,15,14,48,Evening,6,4,8,2,At school,Wi-Fi,1.0714285714285714,708.2142857142857,18.642857142857142
20,Other,India,38099,False,True,Teacher,Rural,Facebook,81,13,5,8621,4,18,20,93,Morning,8,2,10,0,At home,Mobile Data,0.9,431.05,6.230769230769231
37,Female,Vietnam,65096,True,False,Artist,Rural,Facebook,174,13,13,6793,8,14,25,43,Night,3,7,5,5,At work,Mobile Data,0.56,271.72,13.384615384615385
53,Male,Germany,91986,True,True,Students,Rural,TikTok,58,5,19,2459,5,26,42,16,Evening,6,4,8,2,At school,Mobile Data,0.6190476190476191,58.54761904761905,11.6
36,Female,Germany,33230,False,True,Waiting staff,Rural,Instagram,61,16,12,5273,4,1,49,35,Afternoon,5,5,7,3,Commuting,Wi-Fi,0.02040816326530612,107.61224489795919,3.8125
43,Other,Philippines,49009,False,True,Waiting staff,Rural,TikTok,298,11,23,1718,6,10,8,53,Afternoon,5,5,7,3,At work,Mobile Data,1.25,214.75,27.09090909090909
20,Other,United States,90969,True,True,Cashier,Rural,YouTube,287,5,21,9457,2,29,28,34,Evening,6,4,8,2,At school,Mobile Data,1.0357142857142858,337.75,57.4
36,Male,Barzil,53866,True,False,Driver,Rural,TikTok,123,13,5,5423,2,20,46,3,Night,3,7,5,5,At school,Mobile Data,0.43478260869565216,117.8913043478261,9.461538461538462
37,Female,Germany,96975,True,True,Driver,Rural,TikTok,248,11,6,1308,2,10,21,68,Night,3,7,5,5,At home,Wi-Fi,0.47619047619047616,62.285714285714285,22.545454545454547
49,Male,Barzil,61855,True,False,Waiting staff,Urban,TikTok,142,19,7,1050,9,10,23,5,Evening,6,4,8,2,At school,Mobile Data,0.43478260869565216,45.65217391304348,7.473684210526316
24,Male,United States,26416,False,False,Driver,Rural,Instagram,283,3,26,5479,3,27,32,10,Night,3,7,5,5,At home,Mobile Data,0.84375,171.21875,94.33333333333333
58,Male,Vietnam,92516,True,False,Students,Rural,YouTube,175,15,10,2249,4,24,8,52,Morning,8,2,10,0,At home,Mobile Data,3.0,281.125,11.666666666666666
50,Female,Japan,75915,True,False,Students,Rural,TikTok,252,7,16,2809,8,2,31,29,Evening,6,4,8,2,At home,Mobile Data,0.06451612903225806,90.61290322580645,36.0
57,Female,United States,38058,False,False,Students,Rural,Instagram,147,7,8,2921,4,29,37,96,Afternoon,5,5,7,3,At school,Mobile Data,0.7837837837837838,78.94594594594595,21.0
56,Male,Germany,96637,True,True,Labor/Worker,Rural,YouTube,88,6,9,4676,7,28,16,31,Afternoon,5,5,7,3,At work,Mobile Data,1.75,292.25,14.666666666666666
35,Other,India,60718,True,False,Waiting staff,Urban,Facebook,179,3,27,4041,5,27,40,66,Afternoon,5,5,7,3,At home,Mobile Data,0.675,101.025,59.666666666666664
57,Female,United States,52602,True,False,Driver,Rural,TikTok,132,13,4,2417,9,8,42,76,Night,3,7,5,5,At home,Mobile Data,0.19047619047619047,57.54761904761905,10.153846153846153
18,Female,United States,94658,True,True,Engineer,Rural,YouTube,185,7,21,532,4,1,27,91,Evening,6,4,8,2,At work,Mobile Data,0.037037037037037035,19.703703703703702,26.428571428571427
28,Male,Philippines,98112,True,True,Driver,Urban,TikTok,91,5,21,9090,3,1,40,69,Afternoon,5,5,7,3,At work,Mobile Data,0.025,227.25,18.2
45,Female,Indonesia,78067,True,True,Waiting staff,Rural,Facebook,96,18,8,8167,2,4,41,37,Afternoon,5,5,7,3,At work,Mobile Data,0.0975609756097561,199.1951219512195,5.333333333333333
42,Female,India,47516,False,False,Labor/Worker,Rural,YouTube,234,8,25,1469,1,7,18,27,Afternoon,5,5,7,3,Commuting,Mobile Data,0.3888888888888889,81.61111111111111,29.25
40,Male,India,21089,False,False,Engineer,Rural,Instagram,25,17,7,9444,6,9,35,87,Night,3,7,5,5,At home,Wi-Fi,0.2571428571428571,269.8285714285714,1.4705882352941178
48,Male,Philippines,57346,True,False,Engineer,Rural,YouTube,172,1,15,7292,2,16,49,33,Evening,6,4,8,2,Commuting,Wi-Fi,0.32653061224489793,148.81632653061226,172.0
47,Male,United States,94663,True,True,Labor/Worker,Rural,Instagram,107,14,21,8961,8,5,15,68,Evening,6,4,8,2,At school,Wi-Fi,0.3333333333333333,597.4,7.642857142857143
59,Male,United States,30487,False,False,Waiting staff,Urban,YouTube,165,17,3,9025,6,2,27,59,Evening,6,4,8,2,At work,Mobile Data,0.07407407407407407,334.25925925925924,9.705882352941176
52,Male,United States,20155,False,False,Artist,Rural,Instagram,11,10,17,7142,5,28,17,64,Evening,6,4,8,2,At school,Wi-Fi,1.6470588235294117,420.11764705882354,1.1
24,Male,Germany,87494,True,False,Students,Rural,Facebook,178,12,11,6000,2,23,40,85,Morning,8,2,10,0,At work,Mobile Data,0.575,150.0,14.833333333333334
33,Other,Philippines,96229,True,False,Driver,Rural,Facebook,101,16,9,7081,7,11,2,88,Evening,6,4,8,2,At school,Mobile Data,5.5,3540.5,6.3125
43,Male,Vietnam,58547,True,True,Labor/Worker,Rural,Facebook,190,14,5,4649,2,18,49,44,Morning,8,2,10,0,At school,Wi-Fi,0.3673469387755102,94.87755102040816,13.571428571428571
19,Male,India,48795,False,False,Students,Urban,YouTube,240,16,25,6931,5,25,31,95,Night,3,7,5,5,At work,Mobile Data,0.8064516129032258,223.58064516129033,15.0
18,Male,Mexico,75296,True,True,Driver,Rural,Facebook,157,8,10,3424,2,25,37,88,Afternoon,5,5,7,3,Commuting,Mobile Data,0.6756756756756757,92.54054054054055,19.625
29,Male,Pakistan,41447,False,False,Driver,Rural,TikTok,289,10,15,1091,2,19,41,49,Evening,6,4,8,2,At home,Mobile Data,0.4634146341463415,26.609756097560975,28.9
22,Male,United States,56598,True,True,Artist,Urban,Facebook,198,17,28,9388,7,13,41,53,Night,3,7,5,5,At school,Wi-Fi,0.3170731707317073,228.97560975609755,11.647058823529411
54,Female,India,61814,True,False,Waiting staff,Urban,Instagram,137,18,29,9852,9,24,34,74,Night,3,7,5,5,At school,Mobile Data,0.7058823529411765,289.7647058823529,7.611111111111111
49,Female,India,95330,True,True,Driver,Rural,Instagram,16,16,14,7849,5,11,34,49,Evening,6,4,8,2,At home,Wi-Fi,0.3235294117647059,230.85294117647058,1.0
26,Male,India,83278,True,False,Labor/Worker,Rural,Instagram,56,17,4,4654,7,20,3,66,Afternoon,5,5,7,3,At work,Mobile Data,6.666666666666667,1551.3333333333333,3.2941176470588234
58,Other,Philippines,75077,True,True,Driver,Rural,YouTube,62,16,21,260,4,19,17,95,Afternoon,5,5,7,3,At home,Mobile Data,1.1176470588235294,15.294117647058824,3.875
52,Other,United States,91906,True,False,Waiting staff,Rural,TikTok,196,19,20,5936,2,17,14,63,Evening,6,4,8,2,At home,Mobile Data,1.2142857142857142,424.0,10.31578947368421
36,Male,Pakistan,29528,False,True,Waiting staff,Rural,Facebook,47,8,2,9377,3,5,14,25,Evening,6,4,8,2,At work,Wi-Fi,0.35714285714285715,669.7857142857143,5.875
33,Female,Japan,70100,True,False,Labor/Worker,Rural,TikTok,235,6,12,4370,2,13,46,4,Evening,6,4,8,2,Commuting,Mobile Data,0.2826086956521739,95.0,39.166666666666664
20,Female,Germany,28179,False,True,Driver,Rural,TikTok,62,6,1,4301,5,27,38,51,Night,3,7,5,5,At school,Mobile Data,0.7105263157894737,113.1842105263158,10.333333333333334
37,Male,Barzil,68781,True,True,Engineer,Rural,Instagram,233,9,24,7207,6,20,35,11,Night,3,7,5,5,At home,Mobile Data,0.5714285714285714,205.9142857142857,25.88888888888889
41,Other,Vietnam,75267,True,True,Labor/Worker,Rural,Instagram,163,4,20,5819,7,1,1,17,Afternoon,5,5,7,3,Commuting,Mobile Data,1.0,5819.0,40.75
50,Male,Pakistan,43952,False,True,Teacher,Rural,Instagram,57,12,5,9058,3,10,48,66,Night,3,7,5,5,At home,Mobile Data,0.20833333333333334,188.70833333333334,4.75
41,Other,Barzil,73798,True,True,Cashier,Rural,YouTube,156,12,6,92,4,8,29,70,Evening,6,4,8,2,At work,Mobile Data,0.27586206896551724,3.1724137931034484,13.0
28,Female,Philippines,70939,True,True,Waiting staff,Rural,TikTok,73,17,24,5161,8,24,4,73,Morning,8,2,10,0,At home,Wi-Fi,6.0,1290.25,4.294117647058823
25,Female,Barzil,49516,False,True,Students,Rural,TikTok,191,15,11,7632,4,29,33,69,Evening,6,4,8,2,At work,Wi-Fi,0.8787878787878788,231.27272727272728,12.733333333333333
53,Male,Mexico,76526,True,True,Teacher,Rural,YouTube,134,9,8,9543,7,8,17,84,Evening,6,4,8,2,At home,Mobile Data,0.47058823529411764,561.3529411764706,14.88888888888889
55,Male,India,30449,False,True,Labor/Worker,Rural,YouTube,188,7,7,6208,6,19,28,29,Evening,6,4,8,2,Commuting,Wi-Fi,0.6785714285714286,221.71428571428572,26.857142857142858
57,Male,Pakistan,70290,True,True,Students,Urban,YouTube,48,10,4,8556,7,6,26,85,Afternoon,5,5,7,3,At work,Mobile Data,0.23076923076923078,329.0769230769231,4.8
37,Male,Philippines,92954,True,True,Waiting staff,Rural,TikTok,269,16,6,4916,1,12,8,73,Evening,6,4,8,2,At home,Mobile Data,1.5,614.5,16.8125
52,Male,Pakistan,42746,False,False,Students,Rural,TikTok,12,12,16,3718,3,28,34,92,Evening,6,4,8,2,At school,Mobile Data,0.8235294117647058,109.3529411764706,1.0
42,Female,Mexico,87990,True,True,Waiting staff,Rural,Instagram,73,7,20,6125,6,7,18,72,Night,3,7,5,5,At home,Mobile Data,0.3888888888888889,340.27777777777777,10.428571428571429
52,Male,United States,78810,True,False,Students,Rural,Instagram,38,18,15,1924,3,16,31,95,Night,3,7,5,5,At work,Mobile Data,0.5161290322580645,62.064516129032256,2.111111111111111
42,Female,United States,35223,False,True,Labor/Worker,Urban,TikTok,20,15,14,3095,7,9,27,20,Afternoon,5,5,7,3,Commuting,Mobile Data,0.3333333333333333,114.62962962962963,1.3333333333333333
46,Female,United States,92237,True,False,Teacher,Rural,Instagram,106,6,23,6683,9,21,16,27,Evening,6,4,8,2,At home,Mobile Data,1.3125,417.6875,17.666666666666668
35,Female,Indonesia,22597,False,True,Labor/Worker,Urban,YouTube,212,12,12,5181,3,25,10,8,Night,3,7,5,5,At work,Mobile Data,2.5,518.1,17.666666666666668
63,Male,Barzil,85677,True,False,Waiting staff,Urban,Facebook,30,11,29,2538,1,22,40,85,Evening,6,4,8,2,At home,Wi-Fi,0.55,63.45,2.727272727272727
35,Male,Indonesia,22659,False,True,Students,Rural,Instagram,48,3,12,9488,6,10,12,61,Evening,6,4,8,2,At school,Wi-Fi,0.8333333333333334,790.6666666666666,16.0
19,Female,India,94567,True,False,Waiting staff,Rural,TikTok,232,2,16,2276,1,10,22,28,Afternoon,5,5,7,3,At work,Wi-Fi,0.45454545454545453,103.45454545454545,116.0
52,Male,Vietnam,35037,False,True,Labor/Worker,Rural,Instagram,111,6,15,8194,1,10,16,87,Afternoon,5,5,7,3,At school,Mobile Data,0.625,512.125,18.5
33,Female,Mexico,66738,True,False,Engineer,Rural,Instagram,55,5,29,9945,8,20,12,70,Night,3,7,5,5,At school,Mobile Data,1.6666666666666667,828.75,11.0
58,Female,Philippines,91678,True,True,Engineer,Rural,Instagram,75,18,13,910,9,29,11,3,Evening,6,4,8,2,Commuting,Mobile Data,2.6363636363636362,82.72727272727273,4.166666666666667
53,Male,Pakistan,32109,False,True,Waiting staff,Rural,Facebook,100,16,11,306,2,16,20,69,Morning,8,2,10,0,At work,Wi-Fi,0.8,15.3,6.25
50,Female,Germany,42010,False,True,Students,Rural,YouTube,173,8,17,6575,9,1,1,73,Afternoon,5,5,7,3,Commuting,Wi-Fi,1.0,6575.0,21.625
21,Female,Philippines,28787,False,True,Waiting staff,Rural,TikTok,120,11,21,4231,5,17,27,7,Afternoon,5,5,7,3,At home,Mobile Data,0.6296296296296297,156.7037037037037,10.909090909090908
50,Male,Barzil,28472,False,False,Engineer,Urban,Facebook,132,10,15,6028,8,26,3,60,Afternoon,5,5,7,3,At home,Mobile Data,8.666666666666666,2009.3333333333333,13.2
31,Male,Indonesia,43383,False,True,Cashier,Rural,TikTok,202,12,14,6658,7,21,12,4,Afternoon,5,5,7,3,At school,Mobile Data,1.75,554.8333333333334,16.833333333333332
38,Other,Indonesia,81709,True,False,Waiting staff,Rural,TikTok,108,6,10,6336,7,29,30,5,Evening,6,4,8,2,At home,Mobile Data,0.9666666666666667,211.2,18.0
